Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G-PK	PK	PKatt	CrdY	CrdR	Gls/90	Ast/90	G+A/90	G-PK/90	G+A-PK/90	xG	npxG	xA	npxG+xA	xG/90	xA/90	xG+xA/90	npxG/90	npxG+xA/90
459	Andrea Ranocchia	it ITA	DF	Inter	33	1988	6	3	341	3.8	0	0	0	0	0	1	0	0	0	0	0	0	0.2	0.2	0	0.2	0.05	0	0.05	0.05	0.05
460	Giacomo Raspadori	it ITA	MFFW	Sassuolo	21	2000	36	32	2740	30.4	10	4	10	0	0	9	1	0.33	0.13	0.46	0.33	0.46	7.3	7.3	3.8	11.2	0.24	0.13	0.37	0.24	0.37
461	Nicola Ravaglia	it ITA	GK	Sampdoria	32	1988	1	0	5	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
462	Ante Rebi?	hr CRO	FW	Milan	27	1993	24	6	891	9.9	2	2	2	0	0	2	0	0.2	0.2	0.4	0.2	0.4	2.5	2.5	4.6	7.1	0.25	0.47	0.72	0.25	0.72
463	Arkadiusz Reca	pl POL	DF	Spezia	26	1995	25	22	1772	19.7	0	2	0	0	0	3	0	0	0.1	0.1	0	0.1	0.6	0.6	1.8	2.5	0.03	0.09	0.12	0.03	0.12
464	Pepe Reina	es ESP	GK	Lazio	38	1982	15	15	1350	15	0	1	0	0	0	3	0	0	0.07	0.07	0	0.07	0	0	0.3	0.3	0	0.02	0.02	0	0.02
465	Panagiotis Retsos	gr GRE	DFMF	Hellas Verona	22	1998	5	1	55	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0.09	0.09	0	0.09
466	Bryan Reynolds	us USA	DF	Roma	20	2001	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
467	Franck Ribéry	fr FRA	MFFW	Salernitana	38	1983	23	16	1421	15.8	0	2	0	0	0	3	1	0	0.13	0.13	0	0.13	1.1	1.1	2.9	4	0.07	0.19	0.25	0.07	0.25
468	Samuele Ricci	it ITA	MF	Torino	19	2001	12	9	722	8	0	0	0	0	0	1	0	0	0	0	0	0	0.4	0.4	0.5	0.9	0.05	0.06	0.11	0.05	0.11
469	Samuele Ricci	it ITA	MF	Empoli	19	2001	21	17	1530	17	1	1	1	0	0	1	1	0.06	0.06	0.12	0.06	0.12	0.2	0.2	0.3	0.5	0.01	0.02	0.03	0.01	0.03
470	Tomás Rincón	ve VEN	MFFW	Torino	33	1988	7	1	163	1.8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0.03	0.03	0	0.03
471	Tomás Rincón	ve VEN	MF	Sampdoria	33	1988	17	13	1166	13	0	0	0	0	0	3	0	0	0	0	0	0	0.1	0.1	0.1	0.3	0.01	0.01	0.02	0.01	0.02
